Abbreviation,Article,Journal,Volume,Number
2M,Skrutskie et al. 2006,AJ,131,1163
AD17a,Astudillo-Defru et al. 2017,A&A,605,11
AD17b,Astudillo-Defru et al. 2017,A&A,602,88
AF15a,Alonso-Floriano et al. 2015a,A&A,577,128
AF15b,Alonso-Floriano et al. 2015b,A&A,583,85
Aff16,Affer et al. 2016,A&A,593,117
Aff19,Affer et al. 2016,A&A,622,193
Agr86 ,Agrawal et al. 1986,MNRAS,219,225
AllWISE,Cutri et al. 2013,yCat,2328,0
Ama21,Amado et al. 2021,A&A,650,188
Amb73,Ambartsumian et al. 1973,Afz,9,461
Ans15,Ansdell et al. 2015,ApJ,798,41
AP75 ,Andersen & Pettersen 1975,A&A,41,459
AP9,Henden et al. 2009,AAS,41,669
App10,Apps et al. 2010,PASP,122,156
AS11,Alonso-Santiago 2011,BSc thesis,Universidad Complutense de Madrid,Spain
Bale02,Balega et al. 2002,A&A,385,87
Bale04,Balega et al. 2004,A&A,422,627
Bale06,Balega et al. 2006,BSAO,59,20
Bale07,Balega et al. 2007,AstBu,62,339
Bale13,Balega et al. 2013,AstBu,68,53
Barn14,Barnes et al. 2014,MNRAS,439,3094
Barn17,Barnes et al. 2017,MNRAS,471,811
Baro18,Baroch et al. 2018,A&A,619,32
Baro21,Baroch et al. 2021,Submitted to A&A,,
Bau20,Bauer et al. 2020,A&A,640,50
Bene00,Benedict et al. 2000,AJ,120,1106
Benn17,Benneke et al. 2017,ApJ,834,187
Berf10,Bergfors et al. 2010,A&A,520,54
Berh10,Bernhard et al. 2010,OEJV,123,1
Bern10,Bernat et al. 2012,ApJ,756,8
Beu04 ,Beuzit et al. 2004,A&A,425,997
BF77,Bopp & Fekel 1977,PASP,89,65
BG06,Bertout & Genova 2006,A&A,1,1
Bidd14,Biddle et al. 2014,MNRAS,443,1810
Bide85,Bidelman 1985,ApJS,59,197
Bide88,Bidelman 1988,Bulletin d'Information du Centre de Donnees Stellaires,34,35
Bil13,Biller et al. 2013,ApJ,777,160
Blu20,Bluhm et al. 2020,A&A,639,132
Blu21,Bluhm et al. 2021,A&A,650,78
Boc05 ,Bochanski et al. 2005,AJ,130,1871
Bon05,Bonfils et al. 2005,A&A,443,15
Bon12,Bonfils et al. 2012,A&A,546,27
Bon13,Bonfils et al. 2013,A&A,549,109
Bon18,Bonfils et al. 2018,A&A,613,25
Bow15,Bowler et al. 2015,ApJS,216,7
Bri98,Briceno et al. 1998,AJ,115,2074
Bri99 ,Briceno et al. 1999,AJ,118,1354
Bro10 ,Browning et al. 2010,A&A,139,504
Burg10,Burgasser et al. 2010,ApJ,725,1045
Burg15,Burgasser et al. 2015,AJ,149,104
Burn09,Burningham et al. 2009,MNRAS,395,1237
Burt14,Burt et al. 2014,ApJ,789,114
Bus98 ,Buscombe et al. 1998,General Catalogue of MK Spectral Classification (13th),,
Butl04,Butler et al. 2004,ApJ,617,580
Butl06,Butler et al. 2006,PASP,118,1685
Butt10,Butters et al. 2010,A&A,520,10
Cab07 ,Caballero 2007,ApJ,667,520
Cab09,Caballero 2009,A&A,507,251
Cab10 ,Caballero et al. 2010,A&A,520,91
CC16,Cortes-Contreras 2016,PhD thesis,Universidad Complutense de Madrid,Spain
CC17,Cortes-Contreras et al. 2017,A&A,597,47
CC21,Cortes-Contreras et al.,in prep.,,
Chr78,Christy 1978,AJ,38,1225
Cif20,Cifuentes et al. 2020,A&A,642,115
Clos03,Close et al. 2003,ApL,587,407
Clou17,Cloutier et al. 2017,A&A,608,35
CM02,Christian & Mathioudakis 2002,AJ,123,2796
CM20,Canto Martins et al. 2020,ApJS,250,20
CR02,Cruz & Reid 2002,AJ,123,2828
Cru03 ,Cruz et al. 2003,AJ,126,2421
CS81,Christy & Strand 1981,AJ,86,909
Cve12,Cvetkovic et al. 2012,AJ,144,80
DA18,Diez-Alonso et al. 2018,MNRAS,476,50
DA19,Diez-Alonso et al. 2019,A&A,621,126
Dae07 ,Daemgen et al. 2007,ApJ,654,558
Dah17,Dahn et al. 2017,AJ,154,147
Dam20,Damasso et al. 2020,In press,,
Davi16,David et al. 2016,Natur,534,658
Davs14,Davison et al. 2014,AJ,147,26
Daw05 ,Dawson et al. 2005,PASP,117,1
Dea05 ,Deacon et al. 2005,A&A,435,363
Dea12,Deacon et al. 2012,ApJ,757,100
Ded21,Dedrick et al. 2021,AJ,161,86
Del98 ,Delfosse et al. 1998,A&A,331,581
Del99a,Delfosse et al. 1999a,A&A,341,63
Del99b,Delfosse et al. 1999b,A&A,344,897
Dem20,Demory et al. 2020,A&A,642,49
Des12,Deshpande et al. 2012,AJ,144,99
Des13,Deshpande et al. 2013,AJ,146,156
Dev08,Devor et al. 2008,AJ,135,850
Dia19,Diaz et al. 2019,A&A,625,17
Die18,Díez Alonso et al. 2018,MNRAS,476,50
Dit14,Dittmann et al. 2014,ApJ,784,156
Dit17,Dittmann et al. 2017,Natur,544,333
DM88 ,Duquennoy & Mayor 1988,A&A,200,135
Doc06,Docobo et al. 2006,AJ,132,994
Dor11 ,Dorda 2011,MSc thesis,Universidad Complutense de Madrid,Spain
Dra14,Drake et al. 2014,ATel,6121,1
Drei20,Dreizler et al. 2020,A&A,644,127
Dres19,Dressing et al. 2019,AJ,158,87
DSSI,Horch et al. 2011,AJ,141,45
Dup19,Dupuy et al. 2019,AJ,158,174
Ell14,Elliott et al. 2014,A&A,568,26
Ell15,Elliott et al. 2015,A&A,580,88
End03 ,Endl et al. 2003,AJ,126,3099
End08 ,Endl et al. 2008,ApJ,673,1165
Eng09,Engle et al. 2009,AIPC,1135,221
Esp22,Espinoza et al. 2022,AJ,163,133
EPIC,Huber et al. 2017,yCat,4034,0
Eva75,Evans 1975,MNSSA,34,51
Fen20,Feng et al. 2020,ApJS,250,29
Fin18,Finch et al. 2018,AJ,155,176
Fle88,Fleming et al. 1988,ApJ,331,958
For09,Forveille et al. 2009,A&A,493,645
Fou18,Fouque et al. 2018,MNRAS,475,1960
Fri13,Frith et al. 2013,MNRAS,435,2161
FZ16,Finch & Zacharias 2016,AJ,151,160
GA20,Gonzalez-Alvarez et al. 2020,A&A,637,93
GA21,Gonzalez-Alvarez et al. 2021,,,
GA22,Gonzalez-Alvarez et al. 2022,A&A,658,138
GaC09,Gatewood & Coban 2009,AJ,137,402
Gai14,Gaidos et al. 2014,MNRAS,443,2561
GALEX,Bianchi et al. 2011,MNRAS,411,2770
Gali18,Galli et al. 2018,ApJ,859,33
Gall15,Gallardo 2015,MSc thesis,Universidad Complutense de Madrid,Spain
Ger99 ,Gershberg et al. 1999,A&AS,139,555
Gia12,Giacobbe et al. 2012,MNRAS,424,3101
Gig10,Gigoyan et al. 2010,Ap,53,123
Gilh18,Gilhool et al. 2018,AJ,155,38
Gill16,Gillon et al. 2016,Natur,533,221
Gill17,Gillon et al. 2017,Natur,542,456
Giz02 ,Gizis et al. 2002,AJ,123,3356
Giz98,Gizis et al. 1998,AJ,115,2053
Gle05,Glebocki and Gnacinski 2005,Vizier catalog,III/244/catalog,
Gol10,Goldman et al. 2010,MNRAS,404,1140
GR97,Gizis & Reid 1997,PASP,109,849
Gra03 ,Gray et al. 2003,AJ,126,2048
Gra06 ,Gray et al. 2006,AJ,132,161
Hag10,Haghighipour et al. 2010,ApJ,715,271
Ham99 ,Hambaryan et al. 1999,A&A,345,121
Harl96,Harlow 1996,AJ,112,2222
Haro75,Haro et al. 1975,IBVS,1031,1
Hart04,Hartman et al. 2004,AJ,128,1761
Hart10,Hartman et al. 2010,MNRAS,408,475
Hart11,Hartman et al. 2011,AJ,141,166
Hart86,Hartman et al. 1986,ApJ,309,275
Hart87,Hartmann et al. 1987,AJ,93,907
Hen06 ,Henry et al. 2006,AJ,132,2360
HIP1 ,Perryman et al. 1997,A&A,323,49
HIP2 ,van Leeuwen 2007,A&A,474,653
Hob18,Hobson et al. 2018,A&A,618,103
Hob19,Hobson et al. 2019,A&A,625,18
Hoj86,Hojaev A. S. 1986,Afz,24,65
Hor10,Horch et al. 2010,AJ,139,205
Hor11,Horch et al. 2011,AJ,141,45
Hor12,Horch et al. 2012,AJ,143,10
Hou10 ,Houdebine 2010,MNRAS,407,1657
Hou12,Houdebine 2012,MNRAS,421,3180
How10,Howard et al. 2010,ApJ,721,1467
How14,Howard et al. 2014,ApJ,794,51
HS89,Hartmann & Stauffer 1989,AJ,97,873
Ire08,Ireland et al. 2008,ApJ,678,463
Irw09 ,Irwin et al. 2009,ApJ,701,1436
Irw11 ,Irwin et al. 2011,ApJ,727,56
JAb74,Joy & Abt 1974,ApJS,28,1
Jac87 ,Jackson et al. 1987,LNP,291,103
Jah08,Jahreiss et al. 2008,A&A,484,575
Jan12,Janson et al. 2012,ApJ,754,44
Jan14,Janson et al. 2014,ApJ,789,102
Jao05,Jao et al. 2005,AJ,129,1954
JAp09,Johnson & Apps 2009,ApJ,699,833
Jeff18,Jeffers et al. 2018,A&A,614,76
Jefr95,Jeffries 1995,MNRAS,273,559
Jen09 ,Jenkins et al. 2009,ApJ,704,975
Jen52 ,Jenkins 1952,General Catalogue of Trigonometric Stellar Parallaxes (ed. 1952),,
Jod13,Jodar et al. 2013,MNRAS,429,859
Joh07,Johnson et al. 2007,AJ,670,833
Joh10,Johnson et al. 2010,PASP,122,149
Jon16,Jones et al. 2016,ApJ,817,1
Kam18,Kaminski et al. 2018,A&A,618,115
Karmn,Computed by the Consortium using public resources,,,
KE02,Koen & Eyer 2002,MNRAS,331,45
Kem20,Kemmer et al. 2020,A&A,642,236
Kes18,Kesseli et al. 2018,AJ,155,225
Kim15,Kim 2015,MSc thesis,Heidelberg Universitaet,Germany
Kira12,Kiraga 2012,Acta Astron.,62,67
Kirk16,Kirkpatrick et al. 2016,ApJS,224,36
Kirk91,Kirkpatrick et al. 1991,ApJS,77,417
Klu12,Klutsch et al. 2012,SF2A,2012,357
Koe10 ,Koen et al. 2010,MNRAS,403,1949
Kon10 ,Konopacky et al. 2010,ApJ,711,1087
Kos21,Kossakowski et al. 2021,A&A,656,124
KS07,Kiraga & Stepien 2007,AcA,57,149
KS13,Kiraga & Stepien 2013,Acta Astron.,63,53
Lafa20,Lafarga et al. 2019,A&A,636,36
Lafr07,Lafreniere et al. 2007,ApJ,670,1367
Lal19,Lalitha et al. 2019,A&A,627,116
Lamp07,Lampens et al. 2007,A&A,464,641
Law08 ,Law et al. 2008,MNRAS,384,150
LDS,Luyten 1940-87,Proper motion survey with the 48-inch Schmidt Telescope,XXI-XXV-XIX-XL-L-LXIV-LV-LXXI,
Lei93,Leinert et al. 1993,A&A,278,129
Lep03 ,Lepine et al. 2003,AJ,125,1598
Lep09,Lepine et al. 2009,AJ,137,4109
Lep13,Lepine et al. 2013,AJ,145,102
Lip52 ,Lippincott 1952,ApJ,115,582
Lla14,Llamas 2014,BSc thesis,Universidad Complutense de Madrid,Spain
Lod05,Lodieu et al. 2005,A&A,440,1061
LS06,Lopez-Santiago et al. 2006,ApJ,643,1160
LS10,Lopez-Santiago et al. 2010,A&A,514,97
LSPM ,Lepine & Shara 2005,AJ,129,1483
Lu19,Lu et al. 2019,ApJS,243,28
Luc17,Luck et al. 2017,AJ,153,21
Luq18,Luque et al. 2018,A&A,620,171
Luq19,Luque et al. 2019,A&A,628,39
MA10,Martinez-Arnaiz et al. 2010,A&A,520,79
Mac13,Mace et al. 2013,ApJ,777,36
Malg07,Malogolovets et al. 2007,AstBu,62,117
Malk12,Malkov et al. 2012,A&A,546,69
Malo13,Malo et al. 2013,ApJ,762,88
