M/Ms    Teff     L/Ls   g    R      Li/Li0   Mv     Mr     Mi     Mj     Mh     Mk      Ml'   Mm 
0.030   958.   -5.11  4.90  0.102    1.000  40.76  33.66  30.17  21.50  17.93  15.22  11.98  11.68
0.040  1189.   -4.77  5.06  0.098    1.000  33.53  28.29  25.25  18.69  15.88  13.69  11.20  11.24
0.050  1424.   -4.48  5.18  0.096    0.932  28.26  24.20  21.54  16.42  14.22  12.53  10.74  10.86
0.055  1550.   -4.34  5.22  0.095    0.379  26.08  22.48  20.01  15.39  13.45  12.08  10.59  10.71
0.060  1675.   -4.21  5.27  0.094    0.000  23.95  20.72  18.33  14.14  12.67  11.71  10.48  10.59
0.070  2012.   -3.88  5.32  0.096    0.000  21.10  18.37  15.95  12.47  11.69  11.24  10.24  10.43
0.072  2089.   -3.80  5.32  0.097    0.000  20.51  17.87  15.41  12.17  11.49  11.10  10.15  10.37
0.075  2185.   -3.71  5.33  0.098    0.000  19.82  17.32  14.85  11.85  11.25  10.92  10.03  10.29
0.080  2358.   -3.54  5.32  0.103    0.000  18.66  16.41  14.00  11.38  10.86  10.57   9.80  10.08
0.090  2625.   -3.27  5.28  0.113    0.000  16.81  14.99  12.84  10.74  10.27   9.99   9.38   9.64
0.100  2790.   -3.08  5.25  0.125    0.000  15.68  14.10  12.16  10.33   9.86   9.59   9.05   9.26
