Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 8.17609 0.0900000036 1.2268934250    0.090 -2.886  3.3983  4.824    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.13e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.985 20.569 18.342 16.628 14.596 12.402 9.920 9.321 8.995
0.01471 0.00000 8.17609 0.0943171680 1.2650231123    0.094 -2.850  3.4039  4.830    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.894 20.487 18.254 16.539 14.504 12.310 9.828 9.229 8.904
0.01471 0.00000 8.17609 0.1000000015 1.3127751350    0.100 -2.801  3.4115  4.836    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.772 20.376 18.136 16.418 14.383 12.188 9.706 9.107 8.782
0.01471 0.00000 8.17609 0.1032212451 1.3386707306    0.103 -2.777  3.4147  4.840    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.51e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.713 20.322 18.080 16.361 14.324 12.129 9.647 9.048 8.723
0.01471 0.00000 8.17609 0.1131606027 1.4135043621    0.113 -2.705  3.4251  4.849    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.81e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.532 19.744 17.611 15.912 13.965 11.836 9.484 8.883 8.561
0.01471 0.00000 8.17609 0.1200000048 1.4610745907    0.120 -2.656  3.4325  4.855    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.409 19.253 17.220 15.542 13.678 11.610 9.378 8.775 8.455
0.01471 0.00000 8.17609 0.1271094829 1.5075780153    0.127 -2.615  3.4373  4.859    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.22e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.309 18.942 16.961 15.299 13.483 11.451 9.288 8.683 8.367
0.01471 0.00000 8.17609 0.1400000006 1.5848021507    0.140 -2.545  3.4458  4.864    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.58e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.133 18.405 16.512 14.878 13.143 11.176 9.130 8.524 8.212
0.01471 0.00000 8.17609 0.1599999964 1.6895382404    0.160 -2.448  3.4572  4.871    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.16e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.890 17.688 15.909 14.302 12.678 10.808 8.914 8.305 8.000
0.01471 0.00000 8.17609 0.1761211604 1.7629528046    0.176 -2.381  3.4646  4.875    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.723 17.241 15.528 13.936 12.379 10.571 8.764 8.153 7.854
0.01471 0.00000 8.17609 0.2000000030 1.8572380543    0.200 -2.290  3.4744  4.879    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.3e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.495 16.663 15.027 13.458 11.985 10.258 8.559 7.945 7.654
0.01471 0.00000 8.17609 0.2500000000 2.0129647255    0.250 -2.132  3.4906  4.882    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.81e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.099 15.744 14.216 12.668 11.318 9.740 8.202 7.585 7.307
0.01471 0.00000 8.17609 0.3000000119 2.1294965744    0.300 -1.997  3.5023  4.874    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.52e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.763 15.082 13.619 12.101 10.827 9.338 7.894 7.273 7.005
