Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 9.30000 0.0900000036 1.0816895962    0.090 -3.422  3.3624  5.216    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-17      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.326 15.371 18.273 18.320 13.901
0.0152 0.01508 9.30000 0.1000000015 1.1711064577    0.100 -3.242  3.3880  5.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.875 14.918 17.808 17.855 13.450
0.0152 0.01508 9.30000 0.1003792509 1.1742666960    0.100 -3.236  3.3887  5.183    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.9e-17      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.861 14.904 17.794 17.841 13.436
0.0152 0.01508 9.30000 0.1200000122 1.3193155527    0.120 -2.978  3.4227  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.214 14.179 16.947 16.994 12.732
0.0152 0.01508 9.30000 0.1306753606 1.3858625889    0.131 -2.876  3.4339  5.118    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-16      0.00 7.087e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.961 13.766 16.317 16.364 12.359
0.0152 0.01508 9.30000 0.1400000006 1.4384527206    0.140 -2.794  3.4430  5.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.755 13.443 15.840 15.886 12.066
0.0152 0.01508 9.30000 0.1599999964 1.5372931957    0.160 -2.653  3.4565  5.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.085e-01 2.763e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.403 12.916 15.082 15.128 11.588
0.0152 0.01508 9.30000 0.1871554554 1.6483902931    0.187 -2.502  3.4697  5.043    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.76e-16      0.00 7.083e-01 2.764e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.024 12.382 14.339 14.385 11.099
0.0152 0.01508 9.30000 0.2000000030 1.6938791275    0.200 -2.438  3.4753  5.030    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-16      0.00 7.082e-01 2.765e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.864 12.159 14.035 14.082 10.896
0.0152 0.01508 9.30000 0.2500000000 1.8403258324    0.250 -2.235  3.4917  4.990    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-16      0.00 7.080e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.357 11.474 13.121 13.168 10.271
0.0152 0.01508 9.30000 0.3357454538 2.0194163322    0.336 -1.960  3.5089  4.912    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.31e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.671 10.639 12.104 12.151 9.490
0.0152 0.01508 9.30000 0.3461258709 2.0370218754    0.346 -1.932  3.5109  4.904    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.83e-16      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.599 10.551 11.997 12.043 9.407
0.0152 0.01508 9.30000 0.3500000238 2.0434176922    0.350 -1.921  3.5116  4.902    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.02e-16      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.573 10.519 11.958 12.004 9.378
0.0152 0.01508 9.30000 0.3807948828 2.0911846161    0.381 -1.829  3.5185  4.873    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-15      0.00 7.092e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.342 10.235 11.612 11.659 9.114
0.0152 0.01508 9.30000 0.3921622038 2.1075639725    0.392 -1.797  3.5209  4.864    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-15      0.00 7.092e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.263 10.138 11.495 11.541 9.025
0.0152 0.01508 9.30000 0.4000000358 2.1185026169    0.400 -1.776  3.5226  4.859    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.211 10.074 11.418 11.464 8.966
0.0152 0.01508 9.30000 0.4392561615 2.1693789959    0.439 -1.658  3.5322  4.819    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.915 9.711 10.981 11.028 8.631
0.0152 0.01508 9.30000 0.4500000477 2.1822810173    0.450 -1.627  3.5347  4.809    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.838 9.619 10.871 10.918 8.545
0.0152 0.01508 9.30000 0.4573437572 2.1908717155    0.457 -1.604  3.5369  4.801    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.779 9.545 10.782 10.828 8.477
0.0152 0.01508 9.30000 0.4992330074 2.2366628647    0.499 -1.475  3.5490  4.759    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.49e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.457 9.148 10.305 10.351 8.113
0.0152 0.01508 9.30000 0.5000000000 2.2374541759    0.500 -1.473  3.5493  4.759    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.451 9.141 10.296 10.343 8.107
